source,dataset_id,budget_id,budget_short,model_repeat_index,role_id,condition_id,condition_short,subject_id,matched_events,BACC_C0,BACC_A4,delta_BACC
CANONICAL_STAGE18_MR00,PhysioNetMI,FULL_TRAIN,FULL,0,NEURAL,A4-C3-MULTI-PROB-AVG,C3,48,45,0.8260869565217391,0.7806324110671936,-0.045454545454545525
CANONICAL_STAGE18_MR00,PhysioNetMI,FULL_TRAIN,FULL,0,NEURAL,A4-C3-MULTI-PROB-AVG,C3,57,45,0.5982142857142857,0.6904761904761905,0.09226190476190477
CANONICAL_STAGE18_MR00,PhysioNetMI,FULL_TRAIN,FULL,0,NEURAL,A4-C3-MULTI-PROB-AVG,C3,6,45,0.5625,0.6220238095238095,0.059523809523809534
CANONICAL_STAGE18_MR00,PhysioNetMI,FULL_TRAIN,FULL,0,NEURAL,A4-C3-MULTI-PROB-AVG,C3,71,45,0.8695652173913043,0.8241106719367588,-0.045454545454545525
CANONICAL_STAGE18_MR00,PhysioNetMI,FULL_TRAIN,FULL,0,NEURAL,A4-C3-MULTI-PROB-AVG,C3,93,45,0.8873517786561265,0.9328063241106719,0.045454545454545414
CANONICAL_STAGE18_MR00,PhysioNetMI,FULL_TRAIN,FULL,0,NEURAL,A4-C3-MULTI-PROB-AVG,C3,98,45,0.5088932806324111,0.5286561264822134,0.019762845849802257
CANONICAL_STAGE18_MR00,PhysioNetMI,FULL_TRAIN,FULL,0,SSL,A4-C2-MULTI-HARD-VOTE,C2,107,45,0.46726190476190477,0.5446428571428572,0.07738095238095244
CANONICAL_STAGE18_MR00,PhysioNetMI,FULL_TRAIN,FULL,0,SSL,A4-C2-MULTI-HARD-VOTE,C2,27,45,0.6462450592885376,0.5790513833992095,-0.06719367588932812
CANONICAL_STAGE18_MR00,PhysioNetMI,FULL_TRAIN,FULL,0,SSL,A4-C2-MULTI-HARD-VOTE,C2,39,45,0.5553359683794465,0.48616600790513836,-0.06916996047430818
CANONICAL_STAGE18_MR00,PhysioNetMI,FULL_TRAIN,FULL,0,SSL,A4-C2-MULTI-HARD-VOTE,C2,40,45,0.5476190476190476,0.6398809523809523,0.09226190476190477
CANONICAL_STAGE18_MR00,PhysioNetMI,FULL_TRAIN,FULL,0,SSL,A4-C2-MULTI-HARD-VOTE,C2,47,45,0.44047619047619047,0.4583333333333333,0.01785714285714285
CANONICAL_STAGE18_MR00,PhysioNetMI,FULL_TRAIN,FULL,0,SSL,A4-C2-MULTI-HARD-VOTE,C2,48,45,0.6215415019762847,0.6699604743083004,0.04841897233201575
CANONICAL_STAGE18_MR00,PhysioNetMI,FULL_TRAIN,FULL,0,SSL,A4-C2-MULTI-HARD-VOTE,C2,57,45,0.4494047619047619,0.5625,0.11309523809523808
CANONICAL_STAGE18_MR00,PhysioNetMI,FULL_TRAIN,FULL,0,SSL,A4-C2-MULTI-HARD-VOTE,C2,6,45,0.4910714285714286,0.5148809523809523,0.023809523809523725
CANONICAL_STAGE18_MR00,PhysioNetMI,FULL_TRAIN,FULL,0,SSL,A4-C2-MULTI-HARD-VOTE,C2,71,45,0.7124505928853755,0.7134387351778657,0.000988142292490224
CANONICAL_STAGE18_MR00,PhysioNetMI,FULL_TRAIN,FULL,0,SSL,A4-C2-MULTI-HARD-VOTE,C2,93,45,0.6452569169960474,0.6877470355731226,0.04249011857707519
CANONICAL_STAGE18_MR00,PhysioNetMI,FULL_TRAIN,FULL,0,SSL,A4-C2-MULTI-HARD-VOTE,C2,98,45,0.46837944664031617,0.46640316205533594,-0.0019762845849802257
CANONICAL_STAGE18_MR00,PhysioNetMI,FULL_TRAIN,FULL,0,SSL,A4-C3-MULTI-PROB-AVG,C3,107,45,0.46726190476190477,0.4642857142857143,-0.0029761904761904656
CANONICAL_STAGE18_MR00,PhysioNetMI,FULL_TRAIN,FULL,0,SSL,A4-C3-MULTI-PROB-AVG,C3,27,45,0.6462450592885376,0.5790513833992095,-0.06719367588932812
CANONICAL_STAGE18_MR00,PhysioNetMI,FULL_TRAIN,FULL,0,SSL,A4-C3-MULTI-PROB-AVG,C3,39,45,0.5553359683794465,0.41897233201581024,-0.1363636363636363
CANONICAL_STAGE18_MR00,PhysioNetMI,FULL_TRAIN,FULL,0,SSL,A4-C3-MULTI-PROB-AVG,C3,40,45,0.5476190476190476,0.6220238095238095,0.07440476190476197
CANONICAL_STAGE18_MR00,PhysioNetMI,FULL_TRAIN,FULL,0,SSL,A4-C3-MULTI-PROB-AVG,C3,47,45,0.44047619047619047,0.44345238095238093,0.0029761904761904656
CANONICAL_STAGE18_MR00,PhysioNetMI,FULL_TRAIN,FULL,0,SSL,A4-C3-MULTI-PROB-AVG,C3,48,45,0.6215415019762847,0.6699604743083004,0.04841897233201575
CANONICAL_STAGE18_MR00,PhysioNetMI,FULL_TRAIN,FULL,0,SSL,A4-C3-MULTI-PROB-AVG,C3,57,45,0.4494047619047619,0.625,0.17559523809523808
